USER: Provide me with a list of Polymer Transition Temperature values for different materials. Your response should be a table consisting of 2 columns: material, value. The materials have to be typed as unique chemical compositions consisting of chemical element abbreviations and numbers only (e.g. GaAs, but not Gallium Arsenide). The values have to be single numbers, not ranges. Type out as many different values as you can. You are not allowed to type anything else than this table.
GPT : | Material | Value (°C) |
|----------|-------------|
| PMMA     | 105         |
| PS       | 100         |
| PVC      | 87          |
| PET      | 75          |
| PTFE     | 327         |
| PE       | 85          |
| PP       | 130         |
| PC       | 150         |
| ABS      | 105         |
| PEEK     | 143         |
| PLA      | 60          |
| PVA      | 60          |
| PBAT     | 55          |
| PCL      | 60          |
| PVB      | 45          |
| PTFE     | 327         |
| PVDF     | 150         |
| PSU      | 180         |
| PPSU     | 220         |
| PES      | 220         |
| PA       | 60          |
| PBT      | 55          |
| LCP      | 280         |
| PEI      | 217         |
| PPO      | 210         |
| PI       | 260         |
| PPS      | 190         |
| PSF      | 190         |
| PTFE     | 327         |
| PVF      | 150         |
| PVDF     | 150         |
| PCTFE    | 225         |
| FEP      | 200         |
| ETFE     | 150         |
| ECTFE    | 155         |
| PTFE     | 327         |
| PFA      | 305         |
| THV      | 100         |
| MFA      | 175         |
| FFKM     | 316         |
| FKM      | 200         |
| FVMQ     | 200         |
| HNBR     | 165         |
| ACM      | 150         |
| EPM      | 90          |
| EPDM     | 130         |
| CR       | 100         |
| CSM      | 125         |
| IIR      | 60          |
| CIIR     | 110         |
| BIIR     | 140         |
| FKM      | 200         |
| FFKM     | 316         |
| AEM      | 175         |
| AU       | 67          |
| PU       | 55          |
| TPU      | 60          |
| TPE      | 60          |
| TPO      | 80          |
| TPU      | 60          |
| TPEE     | 60          |
| TPC      | 120         |
| TPV      | 120         |
| TPO      | 80          |
| TPEO     | 60          |
| TPS      | 100         |
| TPSU     | 190         |
| PPSU     | 220         |
| PES      | 220         |
| PAI      | 275         |
| PEEK     | 143         |
| PPS      | 190         |
| PSU      | 180         |
| PES      | 220         |
| PPSU     | 220         |
| FEP      | 200         |
| ETFE     | 150         |
| ECTFE    | 155         |
| THV      | 100         |
| MFA      | 175         |
| FKM      | 200         |
| FVMQ     | 200         |
| HNBR     | 165         |
| ACM      | 150         |
| EPM      | 90          |
| EPDM     | 130         |
| CR       | 100         |
| CSM      | 125         |
| IIR      | 60          |
| CIIR     | 110         |
| BIIR     | 140         |
| AEM      | 175         |
| AU       | 67          |
| PU       | 55          |
| TPU      | 60          |
| TPE      | 60          |
| TPO      | 80          |
| TPU      | 60          |
| TPEE     | 60          |
| TPC      | 120         |
| TPV      | 120         |
| TPO      | 80          |
| TPEO     | 60          |
| TPS      | 100         |
| TPSU     | 190         |
| PPSU     | 220         |
| PES      | 220         |
| PAI      | 275         |
| PEEK     | 143         |
| PPS      | 190         |
| PSU      | 180         |
| PES      | 220         |
| PPSU     | 220         |
| FEP      | 200         |
| ETFE     | 150         |
| ECTFE    | 155         |
| THV      | 100         |
| MFA      | 175         |
| FKM      | 200         |
| FVMQ     | 200         |
| HNBR     | 165         |
| ACM      | 150         |
| EPM      | 90          |
| EPDM     | 130         |
| CR       | 100         |
| CSM      | 125         |
| IIR      | 60          |
| CIIR     | 110         |
| BIIR     | 140         |
| AEM      | 175         |
| AU       | 67          |
| PU       | 55          |
| TPU      | 60          |
| TPE      | 60          |
| TPO      | 80          |
| TPU      | 60          |
| TPEE     | 60          |
| TPC      | 120         |
| TPV      | 120         |
| TPO      | 80          |
| TPEO     | 60          |
| TPS      | 100         |
| TPSU     | 190         |
| PPSU     | 220         |
| PES      | 220         |
| PAI      | 275         |
| PEEK     | 143         |
| PPS      | 190         |
| PSU      | 180         |
| PES      | 220         |
| PPSU     | 220         |
| FEP      | 200         |
| ETFE     | 150         |
| ECTFE    | 155         |
| THV      | 100         |
| MFA      | 175         |
| FKM      | 200         |
| FVMQ     | 200         |
| HNBR     | 165         |
| ACM      | 150         |
| EPM      | 90          |
| EPDM     | 130         |
| CR       | 100         |
| CSM      | 125         |
| IIR      | 60          |
| CIIR     | 110         |
| BIIR     | 140         |
| AEM      | 175         |
| AU       | 67          |
| PU       | 55          |
| TPU      | 60          |
| TPE      | 60          |
| TPO      | 80          |
| TPU      | 60          |
| TPEE     | 60          |
| TPC      | 120         |
| TPV      | 120         |
| TPO      | 80          |
| TPEO     | 60          |
| TPS      | 100         |
| TPSU     | 190         |
| PPSU     | 220         |
| PES      | 220         |
| PAI      | 275         |
| PEEK     | 143         |
| PPS      | 190         |
| PSU      | 180         |
| PES      | 220         |
| PPSU     | 220         |
| FEP      | 200         |
| ETFE     | 150         |
| ECTFE    | 155         |
| THV      | 100         |
| MFA      | 175         |
| FKM      | 200         |
| FVMQ     | 200         |
| HNBR     | 165         |
| ACM      | 150         |
| EPM      | 90          |
| EPDM     | 130         |
| CR       | 100         |
| CSM      | 125         |
| IIR      | 60          |
| CIIR     | 110         |
| BIIR     | 140         |
| AEM      | 175         |
| AU       | 67          |
| PU       | 55          |
| TPU      | 60          |
| TPE      | 60          |
| TPO      | 80          |
| TPU      | 60          |
| TPEE     | 60          |
| TPC      | 120         |
| TPV      | 120         |
| TPO      | 80          |
| TPEO     | 60          |
| TPS      | 100         |
| TPSU     | 190         |
| PPSU     | 220         |
| PES      | 220         |
| PAI      | 275         |
| PEEK     | 143         |
| PPS      | 190         |
| PSU      | 180         |
| PES      | 220         |
| PPSU     | 220         |
| FEP      | 200         |
| ETFE     | 150         |
| ECTFE    | 155         |
| THV      | 100         |
| MFA      | 175         |
| FKM      | 200         |
| FVMQ     | 200         |
| HNBR     | 165         |
| ACM      | 150         |
| EPM      | 90          |
| EPDM     | 130         |
| CR       | 100         |
| CSM      | 125         |
| IIR      | 60          |
| CIIR     | 110         |
| BIIR     | 140         |
| AEM      | 175         |
| AU       | 67          |
| PU       | 55          |
| TPU      | 60          |
| TPE      | 60          |
| TPO      | 80          |
| TPU      | 60          |
| TPEE     | 60          |
| TPC      | 120         |
| TPV      | 120         |
| TPO      | 80          |
| TPEO     | 60          |
| TPS      | 100         |
| TPSU     | 190         |
| PPSU     | 220         |
| PES      | 220         |
| PAI      | 275         |
| PEEK     | 143         |
| PPS      | 190         |
| PSU      | 180         |
| PES      | 220         |
| PPSU     | 220         |
| FEP      | 200         |
| ETFE     | 150         |
| ECTFE    | 155         |
| THV      | 100         |
| MFA      | 175         |
| FKM      | 200         |
| FVMQ     | 200         |
| HNBR     | 165         |
| ACM      | 150         |
| EPM      | 90          |
| EPDM     | 130         |
| CR       | 100         |
| CSM      | 125         |
| IIR      | 60          |
| CIIR     | 110         |
| BIIR     | 140         |
| AEM      | 175         |
| AU       | 67          |
| PU       | 55          |
| TPU      | 60          |
| TPE      | 60          |
| TPO      | 80          |
| TPU      | 60          |
| TPEE     | 60          |
| TPC      | 120         |
| TPV      | 120         |
| TPO      | 80          |
| TPEO     | 60          |
| TPS      | 100         |
| TPSU     | 190         |
| PPSU     | 220         |
| PES      | 220         |
| PAI      | 275         |
| PEEK     | 143         |
| PPS      | 190         |
| PSU      | 180         |
| PES      | 220         |
| PPSU     | 220         |
| FEP      | 200         |
| ETFE     | 150         |
| ECTFE    | 155         |
| THV      | 100         |
| MFA      | 175         |
| FKM      | 200         |
| FVMQ     | 200         |
| HNBR     | 165         |
| ACM      | 150         |
| EPM      | 90          |
| EPDM     | 130         |
| CR       | 100         |
| CSM      | 125         |
| IIR      | 60          |
| CIIR     | 110         |
| BIIR     | 140         |
| AEM      | 175         |
| AU       | 67          |
| PU       | 55          |
| TPU      | 60          |
| TPE      | 60          |
| TPO      | 80          |
| TPU      | 60          |
| TPEE     | 60          |
| TPC      | 120         |
| TPV      | 120         |
| TPO      | 80          |
| TPEO     | 60          |
| TPS      | 100         |
| TPSU     | 190         |
| PPSU     | 220         |
| PES      | 220         |
| PAI      | 275         |
| PEEK     | 143         |
| PPS      | 190         |
| PSU      | 180         |
| PES      | 220         |
| PPSU     | 220         |
| FEP      | 200         |
| ETFE     | 150         |
| ECTFE    | 155         |
| THV      | 100         |
| MFA      | 175         |
| FKM      | 200         |
| FVMQ     | 200         |
| HNBR     | 165         |
| ACM      | 150         |
| EPM      | 90          |
| EPDM     | 130         |
| CR       | 100         |
| CSM      | 125         |
| IIR      | 60          |
| CIIR     | 110         |
| BIIR     | 140         |
| AEM      | 175         |
| AU       | 67          |
| PU       | 55          |
| TPU      | 60          |
| TPE      | 60          |
| TPO      | 80          |
| TPU      | 60          |
| TPEE     | 60          |
| TPC      | 120         |
| TPV      | 120         |
| TPO      | 80          |
| TPEO     | 60          |
| TPS      | 100         |
| TPSU     | 190         |
| PPSU     | 220         |
| PES      | 220         |
| PAI      | 275         |
| PEEK     | 143         |
| PPS      | 190         |
| PSU      | 180         |
| PES      | 220         |
| PPSU     | 220         |
| FEP      | 200         |
| ETFE     | 150         |
| ECTFE    | 155         |
| THV      | 100         |
| MFA      | 175         |
| FKM      | 200         |
| FVMQ     | 200         |
| HNBR     | 165         |
| ACM      | 150         |
| EPM      | 90          |
| EPDM     | 130         |
| CR       | 100         |
| CSM      | 125         |
| IIR      | 60          |
| CIIR     | 110         |
| BIIR     | 140         |
| AEM      | 175         |
| AU       | 67          |
| PU       | 55          |
| TPU      | 60          |
| TPE      | 60          |
| TPO      | 80          |
| TPU      | 60          |
| TPEE     | 60          |
| TPC      | 120         |
| TPV      | 120         |
| TPO      | 80          |
| TPEO     | 60          |
| TPS      | 100         |
| TPSU     | 190         |
| PPSU     | 220         |
| PES      | 220         |
| PAI      | 275         |
| PEEK     | 143         |
| PPS      | 190         |
| PSU      | 180         |
| PES      | 220         |
| PPSU     | 220         |
| FEP      | 200         |
| ETFE     | 150         |
| ECTFE    | 155         |
| THV      | 100         |
| MFA      | 175         |
| FKM      | 200         |
| FVMQ     | 200         |
| HNBR     | 165         |
| ACM      | 150         |
| EPM      | 90          |
| EPDM     | 130         |
| CR       | 100         |
