Material,Value
C=CC=O,150
CC(C)C(=O)O,120
CC(=O)O,90
CCCC=O,110
C=CC(=O)O,140
CC=O,100
C=O,80
CCC(=O)O,130
C=CCC=O,160
CC=CC=O,170
CCC=O,95
CC(C)C=O,125
C=CCC(=O)O,145
C=CCCC=O,165
C=CCCCC=O,175
CC=CCC=O,155
C=CCCC=O,170
CC(C)C=O,135
CCC=CC=O,150
CCC=CC=O,140
C=CCCCC=O,180
C=CCCCC=O,185
CCC=CCC=O,160
CCC=CCC=O,155
C=CCCCC=O,190
C=CCCCC=O,195
CCC=CCCC=O,170
CCC=CCCC=O,165
C=CCCCC=O,200
C=CCCCC=O,205
CCC=CCCCC=O,175
CCC=CCCCC=O,170
C=CCCCC=O,210
C=CCCCC=O,215
CCC=CCCCC=O,180
CCC=CCCCC=O,175
C=CCCCC=O,220
C=CCCCC=O,225
CCC=CCCCC=O,185
CCC=CCCCC=O,180
C=CCCCC=O,230
C=CCCCC=O,235
CCC=CCCCC=O,190
CCC=CCCCC=O,185
C=CCCCC=O,240
C=CCCCC=O,245
CCC=CCCCC=O,195
CCC=CCCCC=O,190
C=CCCCC=O,250
C=CCCCC=O,255
CCC=CCCCC=O,200
CCC=CCCCC=O,195
C=CCCCC=O,260
C=CCCCC=O,265
CCC=CCCCC=O,205
CCC=CCCCC=O,200
C=CCCCC=O,270
C=CCCCC=O,275
CCC=CCCCC=O,210
CCC=CCCCC=O,205
C=CCCCC=O,280
C=CCCCC=O,285
CCC=CCCCC=O,215
CCC=CCCCC=O,210
C=CCCCC=O,290
C=CCCCC=O,295
CCC=CCCCC=O,220
CCC=CCCCC=O,215
C=CCCCC=O,300
C=CCCCC=O,305
CCC=CCCCC=O,225
CCC=CCCCC=O,220
C=CCCCC=O,310
C=CCCCC=O,315
CCC=CCCCC=O,230
CCC=CCCCC=O,225
C=CCCCC=O,320
C=CCCCC=O,325
CCC=CCCCC=O,235
CCC=CCCCC=O,230
C=CCCCC=O,330
C=CCCCC=O,335
CCC=CCCCC=O,240
CCC=CCCCC=O,235
C=CCCCC=O,340
C=CCCCC=O,345
CCC=CCCCC=O,245
CCC=CCCCC=O,240
C=CCCCC=O,350
C=CCCCC=O,355
CCC=CCCCC=O,250
CCC=CCCCC=O,245
C=CCCCC=O,360
C=CCCCC=O,365
CCC=CCCCC=O,255
CCC=CCCCC=O,250
C=CCCCC=O,370
C=CCCCC=O,375
CCC=CCCCC=O,260
CCC=CCCCC=O,255
C=CCCCC=O,380
C=CCCCC=O,385
CCC=CCCCC=O,265
CCC=CCCCC=O,260
C=CCCCC=O,390
C=CCCCC=O,395
CCC=CCCCC=O,270
CCC=CCCCC=O,265
C=CCCCC=O,400
