Material,Value
 PMMA     ,105
 PS       ,100
 PVC      ,87
 PTFE     ,127
 PET      ,75
 PA6      ,50
 PC       ,150
 PEEK     ,143
 PLA      ,60
 PVA      ,60
 PVP      ,150
 PTFE     ,127
 PVDF     ,150
 POM      ,175
 PE       ,80
 PP       ,0
 PSF      ,190
 PPS      ,90
 PSU      ,180
 PES      ,170
 PI       ,300
 PMI      ,200
 PBI      ,800
 PPSU     ,190
 PES      ,170
 PEI      ,217
 PBT      ,60
 PBTP     ,60
 PCTG     ,80
 PCTFE    ,200
 PVDC     ,105
 PVF      ,150
 PVDC     ,105
 PVF      ,150
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
 PVAc     ,28
