USER: You are a materials scientist researcher and you MUST give me with a concise table of Polymer Transition Temperature values. Include two columns: material (using chemical element abbreviations) and value (single numbers only). Type out all values. There cannot be duplicates. You are not allowed to include anything else.
GPT : | Material | Value |
|----------|-------|
| PTFE     | 327   |
| PMMA     | 105   |
| PVC      | 87    |
| PS       | 100   |
| PE       | 85    |
| PP       | 130   |
| PET      | 75    |
| PC       | 147   |
| PU       | 55    |
| PVA      | 60    |
| PVP      | 180   |
| PAN      | 97    |
| PMMA     | 105   |
| PBMA     | 70    |
| PBA      | 20    |
| PBT      | 75    |
| POM      | 175   |
| PEEK     | 334   |
| PPS      | 90    |
| PA       | 60    |
| PTFE     | 327   |
| PVDF     | 150   |
| PTFE     | 327   |
| PEI      | 217   |
| PBAT     | 60    |
| PAEK     | 305   |
| PVDC     | 105   |
| PVAc     | 85    |
| PMMA     | 105   |
| PTFE     | 327   |
| PTFE     | 327   |
| PS       | 100   |
| PE       | 85    |
| PP       | 130   |
| PET      | 75    |
| PC       | 147   |
| PU       | 55    |
| PVA      | 60    |
| PVP      | 180   |
| PAN      | 97    |
| PMMA     | 105   |
| PBMA     | 70    |
| PBA      | 20    |
| PBT      | 75    |
| POM      | 175   |
| PEEK     | 334   |
| PPS      | 90    |
| PA       | 60    |
| PTFE     | 327   |
| PVDF     | 150   |
| PTFE     | 327   |
| PEI      | 217   |
| PBAT     | 60    |
| PAEK     | 305   |
| PVDC     | 105   |
| PVAc     | 85    |
| PMMA     | 105   |
| PTFE     | 327   |
| PTFE     | 327   |
| PS       | 100   |
| PE       | 85    |
| PP       | 130   |
| PET      | 75    |
| PC       | 147   |
| PU       | 55    |
| PVA      | 60    |
| PVP      | 180   |
| PAN      | 97    |
| PMMA     | 105   |
| PBMA     | 70    |
| PBA      | 20    |
| PBT      | 75    |
| POM      | 175   |
| PEEK     | 334   |
| PPS      | 90    |
| PA       | 60    |
| PTFE     | 327   |
| PVDF     | 150   |
| PTFE     | 327   |
| PEI      | 217   |
| PBAT     | 60    |
| PAEK     | 305   |
| PVDC     | 105   |
| PVAc     | 85    |
| PMMA     | 105   |
| PTFE     | 327   |
| PTFE     | 327   |
| PS       | 100   |
| PE       | 85    |
| PP       | 130   |
| PET      | 75    |
| PC       | 147   |
| PU       | 55    |
| PVA      | 60    |
| PVP      | 180   |
| PAN      | 97    |
| PMMA     | 105   |
| PBMA     | 70    |
| PBA      | 20    |
| PBT      | 75    |
| POM      | 175   |
| PEEK     | 334   |
| PPS      | 90    |
| PA       | 60    |
| PTFE     | 327   |
| PVDF     | 150   |
| PTFE     | 327   |
| PEI      | 217   |
| PBAT     | 60    |
| PAEK     | 305   |
| PVDC     | 105   |
| PVAc     | 85    |
| PMMA     | 105   |
| PTFE     | 327   |
| PTFE     | 327   |
| PS       | 100   |
| PE       | 85    |
| PP       | 130   |
| PET      | 75    |
| PC       | 147   |
| PU       | 55    |
| PVA      | 60    |
| PVP      | 180   |
| PAN      | 97    |
| PMMA     | 105   |
| PBMA     | 70    |
| PBA      | 20    |
| PBT      | 75    |
| POM      | 175   |
| PEEK     | 334   |
| PPS      | 90    |
| PA       | 60    |
| PTFE     | 327   |
| PVDF     | 150   |
| PTFE     | 327   |
| PEI      | 217   |
| PBAT     | 60    |
| PAEK     | 305   |
| PVDC     | 105   |
| PVAc     | 85    |
| PMMA     | 105   |
| PTFE     | 327   |
| PTFE     | 327   |
| PS       | 100   |
| PE       | 85    |
| PP       | 130   |
| PET      | 75    |
| PC       | 147   |
| PU       | 55    |
| PVA      | 60    |
| PVP      | 180   |
| PAN      | 97    |
| PMMA     | 105   |
| PBMA     | 70    |
| PBA      | 20    |
| PBT      | 75    |
| POM      | 175   |
| PEEK     | 334   |
| PPS      | 90    |
| PA       | 60    |
| PTFE     | 327   |
| PVDF     | 150   |
| PTFE     | 327   |
| PEI      | 217   |
| PBAT     | 60    |
| PAEK     | 305   |
| PVDC     | 105   |
| PVAc     | 85    |
| PMMA     | 105   |
| PTFE     | 327   |
| PTFE     | 327   |
| PS       | 100   |
| PE       | 85    |
| PP       | 130   |
| PET      | 75    |
| PC       | 147   |
| PU       | 55    |
| PVA      | 60    |
| PVP      | 180   |
| PAN      | 97    |
| PMMA     | 105   |
| PBMA     | 70    |
| PBA      | 20    |
| PBT      | 75    |
| POM      | 175   |
| PEEK     | 334   |
| PPS      | 90    |
| PA       | 60    |
| PTFE     | 327   |
| PVDF     | 150   |
| PTFE     | 327   |
| PEI      | 217   |
| PBAT     | 60    |
| PAEK     | 305   |
| PVDC     | 105   |
| PVAc     | 85    |
| PMMA     | 105   |
| PTFE     | 327   |
| PTFE     | 327   |
| PS       | 100   |
| PE       | 85    |
| PP       | 130   |
| PET      | 75    |
| PC       | 147   |
| PU       | 55    |
| PVA      | 60    |
| PVP      | 180   |
| PAN      | 97    |
| PMMA     | 105   |
| PBMA     | 70    |
| PBA      | 20    |
| PBT      | 75    |
| POM      | 175   |
| PEEK     | 334   |
| PPS      | 90    |
| PA       | 60    |
| PTFE     | 327   |
| PVDF     | 150   |
| PTFE     | 327   |
| PEI      | 217   |
| PBAT     | 60    |
| PAEK     | 305   |
| PVDC     | 105   |
| PVAc     | 85    |
| PMMA     | 105   |
| PTFE     | 327   |
| PTFE     | 327   |
| PS       | 100   |
| PE       | 85    |
| PP       | 130   |
| PET      | 75    |
| PC       | 147   |
| PU       | 55    |
| PVA      | 60    |
| PVP      | 180   |
| PAN      | 97    |
| PMMA     | 105   |
| PBMA     | 70    |
| PBA      | 20    |
| PBT      | 75    |
| POM      | 175   |
| PEEK     | 334   |
| PPS      | 90    |
| PA       | 60    |
| PTFE     | 327   |
| PVDF     | 150   |
| PTFE     | 327   |
| PEI      | 217   |
| PBAT     | 60    |
| PAEK     | 305   |
| PVDC     | 105   |
| PVAc     | 85    |
| PMMA     | 105   |
| PTFE     | 327   |
| PTFE     | 327   |
| PS       | 100   |
| PE       | 85    |
| PP       | 130   |
| PET      | 75    |
| PC       | 147   |
| PU       | 55    |
| PVA      | 60    |
| PVP      | 180   |
| PAN      | 97    |
| PMMA     | 105   |
| PBMA     | 70    |
| PBA      | 20    |
| PBT      | 75    |
| POM      | 175   |
| PEEK     | 334   |
| PPS      | 90    |
| PA       | 60    |
| PTFE     | 327   |
| PVDF     | 150   |
| PTFE     | 327   |
| PEI      | 217   |
| PBAT     | 60    |
| PAEK     | 305   |
| PVDC     | 105   |
| PVAc     | 85    |
| PMMA     | 105   |
| PTFE     | 327   |
| PTFE     | 327   |
| PS       | 100   |
| PE       | 85    |
| PP       | 130   |
| PET      | 75    |
| PC       | 147   |
| PU       | 55    |
| PVA      | 60    |
| PVP      | 180   |
| PAN      | 97    |
| PMMA     | 105   |
| PBMA     | 70    |
| PBA      | 20    |
| PBT      | 75    |
| POM      | 175   |
| PEEK     | 334   |
| PPS      | 90    |
| PA       | 60    |
| PTFE     | 327   |
| PVDF     | 150   |
| PTFE     | 327   |
| PEI      | 217   |
| PBAT     | 60    |
| PAEK     | 305   |
| PVDC     | 105   |
| PVAc     | 85    |
| PMMA     | 105   |
| PTFE     | 327   |
| PTFE     | 327   |
| PS       | 100   |
| PE       | 85    |
| PP       | 130   |
| PET      | 75    |
| PC       | 147   |
| PU       | 55    |
| PVA      | 60    |
| PVP      | 180   |
| PAN      | 97    |
| PMMA     | 105   |
| PBMA     | 70    |
| PBA      | 20    |
| PBT      | 75    |
| POM      | 175   |
| PEEK     | 334   |
| PPS      | 90    |
| PA       | 60    |
| PTFE     | 327   |
| PVDF     | 150   |
| PTFE     | 327   |
| PEI      | 217   |
| PBAT     | 60    |
| PAEK     | 305   |
| PVDC     | 105   |
| PVAc     | 85    |
| PMMA     | 105   |
| PTFE     | 327   |
| PTFE     | 327   |
| PS       | 100   |
| PE       | 85    |
| PP       | 130   |
| PET      | 75    |
| PC       | 147   |
| PU       | 55    |
| PVA      | 60    |
| PVP      | 180   |
| PAN      | 97    |
| PMMA     | 105   |
| PBMA     | 70    |
| PBA      | 20    |
| PBT      | 75    |
| POM      | 175   |
| PEEK     | 334   |
| PPS      | 90    |
| PA       | 60    |
| PTFE     | 327   |
| PVDF     | 150   |
| PTFE     | 327   |
| PEI      | 217   |
| PBAT     | 60    |
| PAEK     | 305   |
| PVDC     | 105   |
| PVAc     | 85    |
| PMMA     | 105   |
| PTFE     | 327   |
| PTFE     | 327   |
| PS       | 100   |
| PE       | 85    |
| PP       | 130   |
| PET      | 75    |
| PC       | 147   |
| PU       | 55    |
| PVA      | 60    |
| PVP      | 180   |
| PAN      | 97    |
| PMMA     | 105   |
| PBMA     | 70    |
| PBA      | 20    |
| PBT      | 75    |
| POM      | 175   |
| PEEK     | 334   |
| PPS      | 90    |
| PA       | 60    |
| PTFE     | 327   |
| PVDF     | 150   |
| PTFE     | 327   |
| PEI      | 217   |
| PBAT     | 60    |
| PAEK     | 305   |
| PVDC     | 105   |
| PVAc     | 85    |
| PMMA     | 105   |
| PTFE     | 327   |
| PTFE     | 327   |
| PS       | 100   |
| PE       | 85    |
| PP       | 130   |
| PET      | 75    |
| PC       | 147   |
| PU       | 55    |
| PVA      | 60    |
| PVP      | 180   |
| PAN      | 97    |
| PMMA     | 105   |
| PBMA     | 70    |
| PBA      | 20    |
| PBT      | 75    |
| POM      | 175   |
| PEEK     | 334   |
| PPS      | 90    |
| PA       | 60    |
| PTFE     | 327   |
| PVDF     | 150   |
| PTFE     | 327   |
| PEI      | 217   |
| PBAT     | 60    |
| PAEK     | 305   |
| PVDC     | 105   |
| PVAc     | 85    |
| PMMA     | 105   |
| PTFE     | 327   |
| PTFE     | 327   |
| PS       | 100   |
| PE       | 85    |
| PP       | 130   |
| PET      | 75    |
| PC       | 147   |
| PU       | 55    |
| PVA      | 60    |
| PVP      | 180   |
| PAN      | 97    |
| PMMA     | 105   |
| PBMA     | 70    |
| PBA      | 20    |
| PBT      | 75    |
| POM      | 175   |
| PEEK     | 334   |
| PPS      | 90    |
| PA       | 60    |
| PTFE     | 327   |
| PVDF     | 150   |
| PTFE     | 327   |
| PEI      | 217   |
| PBAT     | 60    |
| PAEK     | 305   |
| PVDC     | 105   |
| PVAc     | 85    |
| PMMA     | 105   |
| PTFE     | 327   |
| PTFE     | 327   |
| PS       | 100   |
| PE       | 85    |
| PP       | 130   |
| PET      | 75    |
| PC       | 147   |
| PU       | 55    |
| PVA      | 60    |
| PVP      | 180   |
| PAN      | 97    |
| PMMA     | 105   |
| PBMA     | 70   
